Group,Year,Horizon,N,Mean,Median,Win_Rate
BASELINE_COMPRESSION_VALID,ALL,1,90475,0.0002665547511827148,0.0004122955773182557,0.5131914893617021
BASELINE_COMPRESSION_VALID,ALL,3,90475,0.0017228859639165854,0.0018136128133390272,0.5304006631666206
BASELINE_COMPRESSION_VALID,ALL,5,90475,0.003179404307913686,0.0033735994634327415,0.5445813760707378
BASELINE_COMPRESSION_VALID,2018,1,8554,-0.00033365933113040536,0.00022526843846915057,0.5059621229833996
BASELINE_COMPRESSION_VALID,2018,3,8554,-0.00024131652978917522,0.0009329467436934857,0.5170680383446341
BASELINE_COMPRESSION_VALID,2018,5,8554,6.491707350563985e-05,0.0018735712811741578,0.5256020575169511
BASELINE_COMPRESSION_VALID,2019,1,11844,0.0004942306822764905,0.0006027024058419261,0.5241472475515029
BASELINE_COMPRESSION_VALID,2019,3,11844,0.002921548973051986,0.0030206967584891498,0.5615501519756839
BASELINE_COMPRESSION_VALID,2019,5,11844,0.005090865378697149,0.005366286588258773,0.5929584599797366
BASELINE_COMPRESSION_VALID,2020,1,11891,0.0001697487957784448,-4.9297047399976535e-05,0.4965940627365234
BASELINE_COMPRESSION_VALID,2020,3,11891,0.0024752404993592363,0.0017557170770963193,0.5263644773358002
BASELINE_COMPRESSION_VALID,2020,5,11891,0.004989296907789554,0.0044041966415244715,0.543352115044992
BASELINE_COMPRESSION_VALID,2021,1,11844,0.0003418484155551732,0.00038443762073148147,0.5150287065180682
BASELINE_COMPRESSION_VALID,2021,3,11844,0.002682566425423424,0.002389214712248622,0.5427220533603513
BASELINE_COMPRESSION_VALID,2021,5,11844,0.004785805716466398,0.004284938424393259,0.5609591354272205
BASELINE_COMPRESSION_VALID,2022,1,11797,2.138758739234408e-05,0.00033096901642681864,0.5078409765194541
BASELINE_COMPRESSION_VALID,2022,3,11797,-0.0008895620667853577,0.0,0.49995761634313807
BASELINE_COMPRESSION_VALID,2022,5,11797,-0.001607509937335108,-4.603854163975907e-05,0.498516572009833
BASELINE_COMPRESSION_VALID,2023,1,11750,0.0008538834710148577,0.0007461345447282719,0.5262978723404256
BASELINE_COMPRESSION_VALID,2023,3,11750,0.0028015780860512203,0.001927698987625237,0.5342978723404256
BASELINE_COMPRESSION_VALID,2023,5,11750,0.004651661637796288,0.0028490444970169504,0.5407659574468086
BASELINE_COMPRESSION_VALID,2024,1,11844,9.423357150879003e-06,0.0002889339410772074,0.5100472813238771
BASELINE_COMPRESSION_VALID,2024,3,11844,0.0017083775274175932,0.001535324165920282,0.5271023302938197
BASELINE_COMPRESSION_VALID,2024,5,11844,0.003323517953119704,0.00283312076399711,0.5397669706180345
BASELINE_COMPRESSION_VALID,2025,1,10951,0.00042485698762111395,0.0005575817775085312,0.5181261985206831
BASELINE_COMPRESSION_VALID,2025,3,10951,0.0017784402684482969,0.0020454549001187594,0.5303625239704136
BASELINE_COMPRESSION_VALID,2025,5,10951,0.0032633828855782093,0.004120295160489951,0.5496301707606611
A,ALL,1,7812,-0.00024004971357420595,0.0,0.49948796722990274
A,ALL,3,7812,0.0005006834306846244,0.0006035480480315325,0.5131848438300051
A,ALL,5,7812,0.0020880369759148157,0.0021547598344801022,0.5371223758320532
